Estonian Name,Latin Name,Category,EELIS link
kõre,Bufo calamita,I,https://infoleht.keskkonnainfo.ee/lnim/1521272249
rohe-kärnkonn,Bufo viridis,I,https://infoleht.keskkonnainfo.ee/lnim/-1153239162
must-toonekurg,Ciconia nigra,I,https://infoleht.keskkonnainfo.ee/lnim/1443406800
väike-laukhani,Anser erythropus,I,https://infoleht.keskkonnainfo.ee/lnim/1348174756
merikotkas,Haliaeetus albicilla,I,https://infoleht.keskkonnainfo.ee/lnim/-1420119296
madukotkas,Circaetus gallicus,I,https://infoleht.keskkonnainfo.ee/lnim/-1839900509
väike-konnakotkas,Aquila pomarina,I,https://infoleht.keskkonnainfo.ee/lnim/-1493545051
suur-konnakotkas,Aquila clanga,I,https://infoleht.keskkonnainfo.ee/lnim/-1378992638
kaljukotkas,Aquila chrysaetos,I,https://infoleht.keskkonnainfo.ee/lnim/-939891105
kalakotkas,Pandion haliaetus,I,https://infoleht.keskkonnainfo.ee/lnim/-1935356794
väikepistrik,Falco columbarius,I,https://infoleht.keskkonnainfo.ee/lnim/-1520856611
rabapistrik,Falco peregrinus,I,https://infoleht.keskkonnainfo.ee/lnim/1879781850
rabapüü,Lagopus lagopus,I,https://infoleht.keskkonnainfo.ee/lnim/-23266858
niidurüdi,Calidris alpina schinzii,I,https://infoleht.keskkonnainfo.ee/lnim/-707223494
tutkas,Philomachus pugnax,I,https://infoleht.keskkonnainfo.ee/lnim/289852512
kassikakk,Bubo bubo,I,https://infoleht.keskkonnainfo.ee/lnim/915542732
habekakk,Strix nebulosa,I,https://infoleht.keskkonnainfo.ee/lnim/457236109
siniraag,Coracias garrulus,I,https://infoleht.keskkonnainfo.ee/lnim/-1980803519
lendorav,Pteromys volans,I,https://infoleht.keskkonnainfo.ee/lnim/-646374363
euroopa naarits,Mustela lutreola,I,https://infoleht.keskkonnainfo.ee/lnim/187316116
säga,Silurus glanis,II,https://infoleht.keskkonnainfo.ee/lnim/1827224213
tõugjas,Aspius aspius,II,https://infoleht.keskkonnainfo.ee/lnim/-344250324
harivesilik,Triturus cristatus,II,https://infoleht.keskkonnainfo.ee/lnim/472644965
mudakonn,Pelobates fuscus,II,https://infoleht.keskkonnainfo.ee/lnim/-253598614
kivisisalik,Lacerta agilis,II,https://infoleht.keskkonnainfo.ee/lnim/2084287787
järvekaur,Gavia arctica,II,https://infoleht.keskkonnainfo.ee/lnim/265069871
sarvikpütt,Podiceps auritus,II,https://infoleht.keskkonnainfo.ee/lnim/-1252486423
hüüp,Botaurus stellaris,II,https://infoleht.keskkonnainfo.ee/lnim/-1424869972
väikeluik,Cygnus columbianus,II,https://infoleht.keskkonnainfo.ee/lnim/-1768028273
laululuik,Cygnus cygnus,II,https://infoleht.keskkonnainfo.ee/lnim/-838126690
soopart,Anas acuta (haudeasurkond),II,https://infoleht.keskkonnainfo.ee/lnim/-945715954
merivart,Aythya marila (haudeasurkond),II,https://infoleht.keskkonnainfo.ee/lnim/1635461711
kirjuhahk,Polysticta stelleri,II,https://infoleht.keskkonnainfo.ee/lnim/-511214118
väikekoskel,Mergus albellus,II,https://infoleht.keskkonnainfo.ee/lnim/-771647779
kanakull,Accipiter gentilis,II,https://infoleht.keskkonnainfo.ee/lnim/-103140219
metsis,Tetrao urogallus,II,https://infoleht.keskkonnainfo.ee/lnim/-268142793
väikehuik,Porzana parva,II,https://infoleht.keskkonnainfo.ee/lnim/-628647448
naaskelnokk,Recurvirostra avosetta,II,https://infoleht.keskkonnainfo.ee/lnim/593912326
mudanepp,Lymnocryptes minimus,II,https://infoleht.keskkonnainfo.ee/lnim/1835506826
rohunepp,Gallinago media,II,https://infoleht.keskkonnainfo.ee/lnim/-1215368980
mustsaba-vigle,Limosa limosa,II,https://infoleht.keskkonnainfo.ee/lnim/-1342562718
kivirullija,Arenaria interpres,II,https://infoleht.keskkonnainfo.ee/lnim/887366549
väikekajakas,Larus minutus,II,https://infoleht.keskkonnainfo.ee/lnim/-1274587152
tõmmukajakas,Larus fuscus,II,https://infoleht.keskkonnainfo.ee/lnim/-1112054364
räusktiir,Sterna caspia,II,NotFound
tutt-tiir,Sterna sandvicensis,II,https://infoleht.keskkonnainfo.ee/lnim/-2016713806
alk,Alca torda,II,https://infoleht.keskkonnainfo.ee/lnim/1160120525
krüüsel,Cepphus grylle,II,https://infoleht.keskkonnainfo.ee/lnim/70608849
sooräts,Asio flammeus,II,https://infoleht.keskkonnainfo.ee/lnim/1622587022
karvasjalg-kakk,Aegolius funereus,II,https://infoleht.keskkonnainfo.ee/lnim/1284686281
jäälind,Alcedo atthis,II,https://infoleht.keskkonnainfo.ee/lnim/1171765770
roherähn,Picus viridis,II,https://infoleht.keskkonnainfo.ee/lnim/1027763355
valgeselg-kirjurähn,Dendrocopos leucotos,II,https://infoleht.keskkonnainfo.ee/lnim/497316959
laanerähn,Picoides tridactylus,II,https://infoleht.keskkonnainfo.ee/lnim/-484212236
nõmmekiur,Anthus campestris,II,https://infoleht.keskkonnainfo.ee/lnim/-1169900161
randkiur,Anthus petrosus,II,https://infoleht.keskkonnainfo.ee/lnim/-228262971
luha-sinirind,Luscinia svecica cyanecula,II,https://infoleht.keskkonnainfo.ee/lnim/1894812450
põldtsiitsitaja,Emberiza hortulana,II,https://infoleht.keskkonnainfo.ee/lnim/344225759
veelendlane,Myotis daubentonii,II,https://infoleht.keskkonnainfo.ee/lnim/-205817263
tiigilendlane,Myotis dasycneme,II,https://infoleht.keskkonnainfo.ee/lnim/1220257168
tõmmulendlane,Myotis brandtii,II,https://infoleht.keskkonnainfo.ee/lnim/1088580651
habelendlane,Myotis mystacinus,II,https://infoleht.keskkonnainfo.ee/lnim/119096894
Nattereri lendlane,Myotis nattereri,II,https://infoleht.keskkonnainfo.ee/lnim/-838005529
suurkõrv,Plecotus auritus,II,https://infoleht.keskkonnainfo.ee/lnim/2146329601
suurvidevlane,Nyctalus noctula,II,https://infoleht.keskkonnainfo.ee/lnim/-451137794
kääbus-nahkhiir,Pipistrellus pipistrellus,II,https://infoleht.keskkonnainfo.ee/lnim/-69962795
pargi-nahkhiir,Pipistrellus nathusii,II,https://infoleht.keskkonnainfo.ee/lnim/579558308
pügmee-nahkhiir,Pipistrellus pygmaeus,II,https://infoleht.keskkonnainfo.ee/lnim/457552709
suur-nahkhiir,Vespertilio murinus,II,NotFound
põhja-nahkhiir,Eptesicus nilssonii,II,https://infoleht.keskkonnainfo.ee/lnim/1612508130
viigerhüljes,Phoca hispida,II,https://infoleht.keskkonnainfo.ee/lnim/-1116121669
atlandi tuur,Acipenser sturio,III,https://infoleht.keskkonnainfo.ee/lnim/40766264
harjus,Thymallus thymallus,III,https://infoleht.keskkonnainfo.ee/lnim/621362178
hink,Cobitis taenia,III,https://infoleht.keskkonnainfo.ee/lnim/778789381
võldas,Cottus gobio,III,https://infoleht.keskkonnainfo.ee/lnim/-2003537689
vingerjas,Misgurnus fossilis,III,https://infoleht.keskkonnainfo.ee/lnim/202520869
tähnikvesilik,Triturus vulgaris,III,https://infoleht.keskkonnainfo.ee/lnim/-1717286718
harilik kärnkonn,Bufo bufo,III,https://infoleht.keskkonnainfo.ee/lnim/1252550552
rohukonn,Rana temporaria,III,https://infoleht.keskkonnainfo.ee/lnim/123881259
rabakonn,Rana arvalis,III,https://infoleht.keskkonnainfo.ee/lnim/-1406640593
veekonn,Rana esculenta,III,https://infoleht.keskkonnainfo.ee/lnim/1752614980
tiigikonn,Rana lessonae,III,https://infoleht.keskkonnainfo.ee/lnim/-775009291
järvekonn,Rana ridibunda,III,https://infoleht.keskkonnainfo.ee/lnim/767653906
arusisalik,Lacerta vivipara,III,https://infoleht.keskkonnainfo.ee/lnim/788757136
vaskuss,Anguis fragilis,III,https://infoleht.keskkonnainfo.ee/lnim/1375727938
nastik,Natrix natrix,III,https://infoleht.keskkonnainfo.ee/lnim/-119048391
rästik,Vipera berus,III,https://infoleht.keskkonnainfo.ee/lnim/25341274
punakurk-kaur,Gavia stellata,III,https://infoleht.keskkonnainfo.ee/lnim/1497885429
väikepütt,Tachybaptus ruficollis,III,https://infoleht.keskkonnainfo.ee/lnim/215406179
hallpõsk-pütt,Podiceps grisegena,III,https://infoleht.keskkonnainfo.ee/lnim/1068971839
valge-toonekurg,Ciconia ciconia,III,https://infoleht.keskkonnainfo.ee/lnim/-77165717
valgepõsk-lagle,Branta leucopsis,III,https://infoleht.keskkonnainfo.ee/lnim/-943771392
punakael-lagle,Branta ruficollis,III,https://infoleht.keskkonnainfo.ee/lnim/581016833
ristpart,Tadorna tadorna,III,https://infoleht.keskkonnainfo.ee/lnim/415223625
tõmmuvaeras,Melanitta fusca,III,https://infoleht.keskkonnainfo.ee/lnim/165705778
herilaseviu,Pernis apivorus,III,https://infoleht.keskkonnainfo.ee/lnim/709136282
must-harksaba,Milvus migrans,III,https://infoleht.keskkonnainfo.ee/lnim/128678934
roo-loorkull,Circus aeruginosus,III,https://infoleht.keskkonnainfo.ee/lnim/-1604122968
välja-loorkull,Circus cyaneus,III,https://infoleht.keskkonnainfo.ee/lnim/-1956439159
soo-loorkull,Circus pygargus,III,https://infoleht.keskkonnainfo.ee/lnim/787706079
raudkull,Accipiter nisus,III,https://infoleht.keskkonnainfo.ee/lnim/1053473122
hiireviu,Buteo buteo,III,https://infoleht.keskkonnainfo.ee/lnim/-1688949904
karvasjalg-viu,Buteo lagopus,III,https://infoleht.keskkonnainfo.ee/lnim/199803569
tuuletallaja,Falco tinnunculus,III,https://infoleht.keskkonnainfo.ee/lnim/-1361215047
punajalg-pistrik,Falco vespertinus,III,https://infoleht.keskkonnainfo.ee/lnim/1354498950
lõopistrik,Falco subbuteo,III,https://infoleht.keskkonnainfo.ee/lnim/124621720
laanepüü,Bonasa bonasia,III,https://infoleht.keskkonnainfo.ee/lnim/586816709
teder,Tetrao tetrix,III,https://infoleht.keskkonnainfo.ee/lnim/-21051371
rooruik,Rallus aquaticus,III,https://infoleht.keskkonnainfo.ee/lnim/-1721916803
täpikhuik,Porzana porzana,III,https://infoleht.keskkonnainfo.ee/lnim/807173577
rukkirääk,Crex crex,III,https://infoleht.keskkonnainfo.ee/lnim/480482892
tait,Gallinula chloropus,III,https://infoleht.keskkonnainfo.ee/lnim/1335124349
sookurg,Grus grus,III,https://infoleht.keskkonnainfo.ee/lnim/-2073684199
liivatüll,Charadrius hiaticula,III,https://infoleht.keskkonnainfo.ee/lnim/-1906684789
väiketüll,Charadrius dubius,III,https://infoleht.keskkonnainfo.ee/lnim/1790660338
rüüt,Pluvialis apricaria,III,https://infoleht.keskkonnainfo.ee/lnim/-1049031473
meririsla,Calidris maritima,III,NotFound
vöötsaba-vigle,Limosa lapponica,III,https://infoleht.keskkonnainfo.ee/lnim/495144325
väikekoovitaja,Numenius phaeopus,III,https://infoleht.keskkonnainfo.ee/lnim/-1419281941
suurkoovitaja,Numenius arquata,III,https://infoleht.keskkonnainfo.ee/lnim/1849683410
punajalg-tilder,Tringa totanus,III,https://infoleht.keskkonnainfo.ee/lnim/-657481245
heletilder,Tringa nebularia,III,https://infoleht.keskkonnainfo.ee/lnim/834686236
mudatilder,Tringa glareola,III,https://infoleht.keskkonnainfo.ee/lnim/-234220185
veetallaja,Phalaropus lobatus,III,https://infoleht.keskkonnainfo.ee/lnim/1130921182
jõgitiir,Sterna hirundo,III,https://infoleht.keskkonnainfo.ee/lnim/-317967644
randtiir,Sterna paradisaea,III,https://infoleht.keskkonnainfo.ee/lnim/-438449643
väiketiir,Sterna albifrons,III,https://infoleht.keskkonnainfo.ee/lnim/1415004998
mustviires,Chlidonias niger,III,https://infoleht.keskkonnainfo.ee/lnim/1824922931
õõnetuvi,Columba oenas,III,https://infoleht.keskkonnainfo.ee/lnim/1649166823
lumekakk,Nyctea scandiaca,III,https://infoleht.keskkonnainfo.ee/lnim/888744485
vöötkakk,Surnia ulula,III,https://infoleht.keskkonnainfo.ee/lnim/926114574
värbkakk,Glaucidium passerinum,III,https://infoleht.keskkonnainfo.ee/lnim/-547394908
kodukakk,Strix aluco,III,https://infoleht.keskkonnainfo.ee/lnim/320216124
händkakk,Strix uralensis,III,https://infoleht.keskkonnainfo.ee/lnim/-1264988982
öösorr,Caprimulgus europaeus,III,https://infoleht.keskkonnainfo.ee/lnim/1885250448
vaenukägu,Upupa epops,III,https://infoleht.keskkonnainfo.ee/lnim/-1321292749
väänkael,Jynx torquilla,III,https://infoleht.keskkonnainfo.ee/lnim/-1986984966
hallpea-rähn,Picus canus,III,https://infoleht.keskkonnainfo.ee/lnim/828213570
musträhn,Dryocopus martius,III,https://infoleht.keskkonnainfo.ee/lnim/-1259356972
tamme-kirjurähn,Dendrocopos medius,III,https://infoleht.keskkonnainfo.ee/lnim/-1054143067
väike-kirjurähn,Dendrocopos minor,III,https://infoleht.keskkonnainfo.ee/lnim/-1827429374
nõmmelõoke,Lullula arborea,III,https://infoleht.keskkonnainfo.ee/lnim/-1229762365
kaldapääsuke,Riparia riparia,III,https://infoleht.keskkonnainfo.ee/lnim/789876315
suitsupääsuke,Hirundo rustica,III,https://infoleht.keskkonnainfo.ee/lnim/1704577474
hänilane,Motacilla flava,III,https://infoleht.keskkonnainfo.ee/lnim/1793114119
kuldhänilane,Motacilla citreola,III,https://infoleht.keskkonnainfo.ee/lnim/-23995938
vesipapp,Cinclus cinclus,III,https://infoleht.keskkonnainfo.ee/lnim/785096743
hoburästas,Turdus viscivorus,III,https://infoleht.keskkonnainfo.ee/lnim/111761906
vööt-põõsalind,Sylvia nisoria,III,https://infoleht.keskkonnainfo.ee/lnim/-1926649276
väike-kärbsenäpp,Ficedula parva,III,https://infoleht.keskkonnainfo.ee/lnim/-760057175
punaselg-õgija,Lanius collurio,III,https://infoleht.keskkonnainfo.ee/lnim/1807590999
hallõgija,Lanius excubitor,III,https://infoleht.keskkonnainfo.ee/lnim/1988650828
koldvint,Serinus serinus,III,https://infoleht.keskkonnainfo.ee/lnim/-1974113356
männi-käbilind,Loxia pytyopsittacus,III,https://infoleht.keskkonnainfo.ee/lnim/-1892223417
kasetriibik,Sicista betulina,III,https://infoleht.keskkonnainfo.ee/lnim/-1932108498
pähklinäpp,Muscardinus avellanarius,III,https://infoleht.keskkonnainfo.ee/lnim/-1162367895
lagrits,Eliomys quercinus,III,https://infoleht.keskkonnainfo.ee/lnim/-1144779812
