Estonian Name,Latin Name,Category,EELIS link,strategy_present,strategy_file,Tüüp,Nimi ladina k,Nimi eesti k,Nimi inglise k,Rühm,Kaitsekategooria,Kirjeldus,Direktiivi lisad,Liigi ohustatuse hinnang,Ohutegurite kirjeldus,Liigi tegevuskava,"Kaitsealused alad, kus on kaitse eesmärgiks",Elupaik,Elupaiga seisund,Ohud,Populatsiooni muutused Eestis,Uuringud,Seisund ELis,Kokkuvõte,Analyze_by_sisukord,Kokkuvõte_text
väike-laukhani,Anser erythropus,I,https://infoleht.keskkonnainfo.ee/lnim/1348174756,True,Vaike-laukhani_KTK_eelnou_24.07.2015.pdf,Kaitsealune liik,Anser erythropus,väike-laukhani,Lesser White-fronted Goose,Linnud,I kategooria,,Linnudirektiivi I lisa,2. Kriitilises seisundis (01.04.2019),,Väike-laukhane (Anser erythropus) kaitse tegevuskava Vaike-laukhani_KTK_eelnou_24.07.2015,Sookuninga looduskaitseala (KLO1000317) Riksu ranniku hoiuala (KLO2000327) Nigula looduskaitseala (KLO1000213) Väinamere hoiuala (Hiiu) (KLO2000340) Väinamere hoiuala (Saare) (KLO2000339) Silma looduskaitseala (KLO1000197) Väinamere hoiuala (Pärnu) (KLO2000300) Matsalu rahvuspark (KLO1000300) Väinamere hoiuala (Läänemaa) (KLO2000241),1.4 Pesitsemine,4. Kaitsestaatus ja senise kaitse tõhususe analüüs,5. Ohutegurid,2.2 Levik ja arvukus Eestis,"3. Ülevaade uuringutest ja inventuuridest, 2.2 Levik ja arvukus",2.1 Levik ja arvukus maailmas,KOKKUVÕTE,True,
madukotkas,Circaetus gallicus,I,https://infoleht.keskkonnainfo.ee/lnim/-1839900509,False,EE907_mgt200116.pdf,Kaitsealune liik,Circaetus gallicus,madukotkas,Short-toed Snake Eagle,Linnud,I kategooria,,Linnudirektiivi I lisa,2. Kriitilises seisundis (30.03.2019),"Eesti tillukesele madukotka-asurkonnale sai nähtavasti saatuslikuks arvukuse kahanemine areaali keskosas, millele järgnes levila põhjapiiri tagasitõmbumine. Suurimaks kohalikuks ohuks on pesitsuspiirkondades tehtavad metsatööd (Ots 2018).",,Läänemaa Suursoo maastikukaitseala (KLO1000124) Endla looduskaitseala (KLO1000174),,,,,,,,False,"Siin on tekst, mis on seotud madukotkaga (Circaetus gallicus):

---

Madukotkas (Circaetus gallicus) on liik, mille esinemise ja leviku kohta täpsemad andmed puuduvad. Kuna madukotka pesitsemist pärsivad ebasoodsad ilmastikutingimused ning loodusmaastike kadumine, siis kaitsekorralduskavaga eesmärke ei seata. Madukotka arvukuseks hinnatakse kogu Eestis kuni 5 paarini. Tegu on lõunapoolsema liigiga, kelle pesitsemine võib toimuda mõnel pikal suvel. Viimane teadaolev pesitsus on registreeritud 1970-ndate alguses. Madukotka toitumisalad on säilinud, kuid tema elupaikade kvaliteedi halvenemine ja ebasoodsad keskkonnatingimused võivad mõjutada liigi edasist säilimist.  Madukotka pesitsuskohtade tuvastamine on keeruline, kuna pesitsuskoha asukoht on teadmata ning peamine mittepesitsemise põhjus on suve lühike kestus.

--- 

See tekst toob esile madukotka esinemise, pesitsemise ja elupaikadega seotud probleemid."
suur-konnakotkas,Aquila clanga,I,https://infoleht.keskkonnainfo.ee/lnim/-1378992638,False,Suur-konnakotka%20tegevuskava.pdf,Täpsustamata liik (nt. segapaar),Clanga pomarina x Clanga clanga,väike-konnakotkas x suur-konnakotkas,Hybrid Lesser Spotted Eagle x Greater Spotted Eagle,Linnud,I kategooria,,,,,,Kabala väike-konnakotka ja suur-konnakotka segapaari püsielupaik (KLO3002628) Nasja väike-konnakotka ja suur-konnakotka segapaari püsielupaik (KLO3002430) Koppelmaa väike-konnakotka ja suur-konnakotka segapaari püsielupaik (KLO3000917) Turvalepa väike-konnakotka ja suur-konnakotka segapaari püsielupaik (KLO3001137) Nasja väike-konnakotka ja suur-konnakotka segapaari püsielupaiga sihtkaitsevöönd (KLO3102774) Rütavere väike-konnakotka ja suur-konnakotka segapaari püsielupaiga sihtkaitsevöönd (KLO3102921) Rütavere väike-konnakotka ja suur-konnakotka segapaari püsielupaiga sihtkaitsevöönd (KLO3103260) Rumba väike-konnakotka ja suur-konnakotka segapaari püsielupaik (KLO3002690) Viru-Kabala väike-konnakotka ja suur-konnakotka segapaari püsielupaik (KLO3002627) Iigaste väike-konnakotka ja suur-konnakotka segapaari püsielupaiga sihtkaitsevöönd (KLO3103298) Rütavere väike-konnakotka ja suur-konnakotka segapaari püsielupaik (KLO3002985) Nasja väike-konnakotka ja suur-konnakotka segapaari püsielupaik (KLO3002298) Keskvere väike-konnakotka ja suur-konnakotka segapaari püsielupaik (KLO3001993) Nasja väike-konnakotka ja suur-konnakotka segapaari püsielupaiga sihtkaitsevöönd (KLO3102635) Tabria väike-konnakotka ja suur-konnakotka segapaari püsielupaik (KLO3001410) Turvalepa 11 väike-konnakotka ja suur-konnakotka segapaari püsielupaik (KLO3001309) Viru-Kabala väike-konnakotka ja suur-konnakotka segapaari püsielupaiga sihtkaitsevöönd (KLO3102844) Iigaste väike-konnakotka ja suur-konnakotka segapaari püsielupaik (KLO3003023) Kabala väike-konnakotka ja suur-konnakotka segapaari püsielupaiga sihtkaitsevöönd (KLO3102845) Rumba väike-konnakotka ja suur-konnakotka segapaari püsielupaiga sihtkaitsevöönd (KLO3102917) Nasja väike-konnakotka ja suur-konnakotka segapaari püsielupaiga sihtkaitsevöönd (KLO3102641) Nasja väike-konnakotka ja suur-konnakotka segapaari püsielupaik (KLO3002317) Rütavere väike-konnakotka ja suur-konnakotka segapaari püsielupaik (KLO3002694) Turvalepa 11 väike-konnakotka ja suur-konnakotka püsielupaiga segapaari sihtkaitsevöönd (KLO3101521) Kilksama väike-konnakotka ja suur-konnakotka segapaari püsielupaik (KLO3001082),1.1.1. Elupaik,"7.1. Riiklik seire – arvukuse, sigimisedukuse ja elupaikade seisundi jälgimine","5.1. Saagialade hävinemine ja kahjustamine, 5.2. Pesapaikade hävinemine, 5.3. Pesitsusaegne häirimine, 5.4. Tahtlik tapmine, kaubandus munade ja poegadega, 5.5. Keskkonnamürgid, 5.6. Hukkumine elektriliinides, tuuleparkides ja teedel, 5.7. Geneetiline vaesumine, 5.8. Hübridiseerumine väike-konnakotkaga",1.2.2. Levik ja arvukus Eestis,"2.2. Ülevaade Eestis läbiviidud uuringutest 2015–2019, 2.3. Eesti teadlaste osalusel valminud rahvusvahelised teadusuuringud",1.2.1. Levik ja arvukus maailmas,Kokkuvõte,True,
väikepistrik,Falco columbarius,I,https://infoleht.keskkonnainfo.ee/lnim/-1520856611,False,elk_2020_est.pdf,Kaitsealune liik,Falco columbarius,väikepistrik,Merlin,Linnud,I kategooria,"Väikepistrik (Falco columbarius) on kohatise levikuga tugeva langustrendiga haudelind, kes on Eesti punase nimestiku kohaselt ohualtis seisus ning kes on arvatud looduskaitseseaduse alusel haruldase ja hävimisohus liigina I kategooria kaitsealuste liikide hulka.",Linnudirektiivi I lisa,2. Kriitilises seisundis (31.03.2019),,,Kõrvemaa maastikukaitseala (KLO1000265) Läänemaa Suursoo maastikukaitseala (KLO1000124) Endla looduskaitseala (KLO1000174) Peipsiveere looduskaitseala (KLO1000624) Alutaguse rahvuspark (KLO1000669) Rubina looduskaitseala (KLO1000192) Suursoo-Leidissoo hoiuala (Läänemaa) (KLO2000154) Nätsi-Võlla looduskaitseala (KLO1000201) Lihula looduskaitseala (KLO1000747) Lavassaare looduskaitseala (KLO1000645) Avaste looduskaitseala (KLO1000464) Vooremaa maastikukaitseala (KLO1000294) Leidissoo looduskaitseala (KLO1000263),,,,,,,,False,"Väikepistrik on üks liikidest, mille arvukus on langenud. See on seotud metsalindude üldise arvukuse langusega, mis on alguse saanud pärast 2000. aastat. Viimaste arvukushinnangute kohaselt on väikepistrik koos teiste langustrendis liikidega järsult vähenenud, sealhulgas metsade, niitude ja märgalade ökosüsteemide muutuste tõttu. Eutrofeerumine ja muud keskkonna muutused, sealhulgas maaparandus ning intensiivistunud maakasutus, on tugevalt mõjutanud väikepistrikute ning teiste haudelinnuliikide elupaiku ja populatsiooni. 

Viimase 40 aasta jooksul on väikepistrikute positsioon haudelindude seas halvenenud, olles üks 30 langustrendis liigist, mis on otseselt seotud Eesti raba- ja märgalade ökosüsteemi muutustega."
rabapistrik,Falco peregrinus,I,https://infoleht.keskkonnainfo.ee/lnim/1879781850,False,EE1962_mgt180119.pdf,Kaitsealune liik,Falco peregrinus,rabapistrik,Peregrine Falcon,Linnud,I kategooria,,Linnudirektiivi I lisa,1. Piirkonnas välja surnud (31.03.2019),,,,,,,,,,,False,"Tolkuse rabas pesitsemas rabapistrik, rabapüü ja kassikakk. Vastavate uuringute tulemusena selgitati välja Tolkuse raba üldine linnustiku koosseis. Tolkuse ja Maasika rabade haudelinnustiku inventuurid on toimunud, sealhulgas rabapistrikust teavitamine, mis viitab selle liigi kohalolekule. Rabapistrik on osa riiklikust seireprogrammist, mille raames viiakse läbi süsteemseid loendusi ning seiret, et jälgida raba linnustiku koosseisu ja arvukust. Tolkuse raba on seirealaks, kus on märgatud rabapistrik, mis tõstab esile selle linna elupaiga olulisust."
tutkas,Philomachus pugnax,I,https://infoleht.keskkonnainfo.ee/lnim/289852512,False,EE905_mgt200114.pdf,,Philomachus pugnax,tutkas,Ruff,Linnud,,,,,,,,,,,,,,,False,"Tutkas (Philomachus pugnax) on Eestis langeva arvukusega harv haudelind, kes pesitseb avamaastikel – lamminiitudel. Alam-Pedja LLA-l on tutkaste elupaigad ja pesitsustingimused, samuti rändepeatuskohad säilinud. Eestis on tutkas ennekõike niiskete heinamaade lind, kaitsealuseid liike kokku rukkirääk, sookurg, rohunepp, vöötsaba-vigle, mustsaba-vigle, tutkas, punajalg-tilder, kiivitaja, väikekajakas, mustviires, hallõgija.  

Alam-Pedja LLA kaitse-eesmärgiks on 48 linnuliiki, sealhulgas tutkas, kes on alal ja seega nende elupaigad vajavad kaitset. Tutkas on kaitsealal kaalutud 61–110 paari, mille hulk võib varieeruda maksimumini. Rüüda asurkond on heas seisus ja alal pesitseb vähemalt 80 haudepaari. Pesitsuspaikade kvaliteedi langus ja inimtegevus, nagu niiduhooldus, võivad aga ohustada selle liigi arvukust. 

Tutkas on tõenäoliselt sõltuv lamminiitude ja niiskete heinamaade kvaliteedist, mille järjepidev hooldamine on hädavajalik. Pesitsusaegne häirimine ning röövlus on samuti peamised ohutegurid, mis võivad tutkaste pesitsuspaiku negatiivselt mõjutada. Alam-Pedjal peetakse vajalikuks tutkaste elupaikade ja pesitsuspaikade hoidmine ning nende kvaliteedi tagamine, sealhulgas kindlasti tuleb osutada tähelepanu ka võsastumise ennetamisele nendel aladel."
habekakk,Strix nebulosa,I,https://infoleht.keskkonnainfo.ee/lnim/457236109,False,L%C3%B5pparuanne%20-%20%C3%9Cle-eestiline%20maismaalinnustiku%20anal%C3%BC%C3%BCs_0.pdf,Kaitsealune liik,Strix nebulosa,habekakk,Great Grey Owl,Linnud,I kategooria,,Linnudirektiivi I lisa,2. Kriitilises seisundis (29.03.2019),"Habekakk eelistab pesapaigana vanu küpseid metsi. Selliste puistute raiet peetaksegi habekakule peamiseks ohuks, sest kaovad potentsiaalsed pesapaigad; teisalt võivad väikesed langid levikut isegi soodustada, pakkudes uusi saagijahialasid. Kindlasti tuleb ohutegurina arvestada ka häirimise suurenevat mõju ning sobivate saagialade – metsasiseste väikeste niitude ja soode kinnikasvamist (Väli 2018).",,Kõrvemaa maastikukaitseala (KLO1000265),Lisa 4.10. Habekakk (Strix nebulosa),Lisa 4.10. Habekakk (Strix nebulosa),"Lisa 4.10. Habekakk (Strix nebulosa), 5.1.2 Hukkumissageduse modelleerimine ja populatsioonimudelid","Lisa 4.10. Habekakk (Strix nebulosa), 3.3.1 Sookurg","5.1.3 Radaruuring, 5.1.4 Haudelinnud, 5.1.5 Põllumajandusmaastikul toituvad suurlinnud (luiged, haned, sookurg)",5.1.6 Ilmaradarite mõõtmistulemuste kasutusvõimalustest lindude rände uurimisel,Kokkuvõte,True,
siniraag,Coracias garrulus,I,https://infoleht.keskkonnainfo.ee/lnim/-1980803519,False,Luitemaa%20kaitsekorralduskava%2012.04.2021%20redaktsioon.pdf,Kaitsealune liik,Coracias garrulus,siniraag,European Roller,Linnud,I kategooria,,Linnudirektiivi I lisa,2. Kriitilises seisundis (26.04.2019),"Peamiseks siniraa arvukuse languse põhjuseks kogu Euroopaspeetakse sobivate elupaikade kadumist muutuva põllumajanduspraktika tõttu, pesitsuspaikade hävimist ning pestitsiidide intensiivsemat kasutamist. Liigi arvukuse languses mängib ilmselt väga olulist rolli ka Ida-Aafrika talvitusalade keskkonnaseisund, sest seal on ohtlikud kemikaalid nagu DDT jätkuvalt kasutusel. Samuti jahitakse teiste lindude hulgas siniraagasid ka rändeteel. Levila servaaladel säilinud väikesearvulisi asurkondi võib hakata ohustama geograafilisest ja geneetilisest isoleeritusest johtuv inbriiding.",,Koiva-Mustjõe maastikukaitseala (KLO1000308) Koiva-Mustjõe luha hoiuala (KLO2000116),,,,,,,,False,
järvekaur,Gavia arctica,II,https://infoleht.keskkonnainfo.ee/lnim/265069871,False,EE907_mgt200116.pdf,Kaitsealune liik,Gavia arctica,järvekaur,Black-throated Diver,Linnud,II kategooria,,Linnudirektiivi I lisa,2. Kriitilises seisundis (29.03.2019),"Peamised ohud pesitsusaladel on häirimine, soode kuivendamine, veekogude eutrofeerumine, turbakaevandamine ja kaaspüük.",,"Küdema lahe hoiuala (KLO2000318) Matsalu rahvuspark (KLO1000300) Väinamere hoiuala (Läänemaa) (KLO2000241) Neugrundi looduskaitseala (KLO1000753) Gretagrundi hoiuala (KLO2000344) Põhja-Kõrvemaa looduskaitseala (KLO1000598) Kura kurgu hoiuala (KLO2000316) Neugrundi LKA, Neugrundi skv. (KLO1102011) Hino maastikukaitseala (KLO1000171) Koorunõmme hoiuala (KLO2000315) Endla looduskaitseala (KLO1000174)",,,,,,,,False,"Järvekaur (Gavia arctica) esineb järgmistes lõikudes:

1. **Lõik 1**: ""ÜLDSÄTTED järvekaur (Gavia arctica), punakurk-kaur (Gavia stellata), värbkakk (Glaucidium soopart e pahlsaba-part (Anas acuta), luitsnokk-part (Anas clypeata), piilpart (Anas crecca)...""

2. **Lõik 2**: ""järvekaur (Gavia arctica), taimestiku kaitse kohta I lisas nimetatud elupaigatüüpide kaitse ja taastamine. Need liigirikkad niidud lubjavaesel mullal (6270*), niiskuslembesed kõrgrohustud (6430)...""

3. **Lõik 3**: ""järvekaur Gavia arctica II I lisa jah jah enam ei pesitse, 10161 ha suurune Endla looduskaitseala on maa omandivormilt valdavalt riigimaa.""

Kombineeritud tekst:

Järvekaur (Gavia arctica) esineb seadusandlikes dokumendis, kus ta on loetletud koos teiste liikidega, sealhulgas punakurk-kaur (Gavia stellata) ja värbkakk (Glaucidium soopart e pahlsaba-part (Anas acuta), luitsnokk-part (Anas clypeata), piilpart (Anas crecca). Ta on osa taimestiku kaitse alusest, kus märgitakse, et järvekauri kaitse ja taastamine on oluline, ning et see liik on seotud liigirikkad niidud, mis on lubjavaesel mullal ja niiskuslembesed kõrgrohustud. Järvekaur (Gavia arctica) on ka mainitud Endla looduskaitseala kontekstis, kus öeldakse, et liik enam ei pesitse, ja kaitseala pindala on 10161 ha, olles valdavalt riigimaa."
väikeluik,Cygnus columbianus,II,https://infoleht.keskkonnainfo.ee/lnim/-1768028273,False,vaikeluige_ktk_14.03.2018.pdf,,Cygnus columbianus,väikeluik,,Linnud,,,,,,,,"1. Väikeluige bioloogia, levik ja arvukus, 1.4. Levik ja arvukus Eestis, 6.1. Leiukoha pindalalise kaardistamise põhimõtted","1.4. Levik ja arvukus Eestis, 5. Ohutegurid, 6.3. Liigi soodsa seisundi tagamise tingimused","5. Ohutegurid, 5.1. Kokkupõrked tehiskonstruktsioonidega, 5.2. Häirimine, 5.3. Jahipidamine ja pliihaavlite kasutamine, 5.4. Toitumisalade seisundi halvenemine, 5.5. Ööbimiskohtade hävimine rändeteel, 5.6. Reostus, 5.7. Röövlus, 3. Kaitsestaatus ja senise kaitse tõhususe analüüs","1.4. Levik ja arvukus Eestis, 2.1. Luikede seire","2. Viimasel viiel aastal tehtud uuringud, inventuurid ja üritused, 2.1. Luikede seire, 2.2. Väikeluikede rändekogumite inventuur, 2.3. Rahvusvaheline koostöö, 2.4. Avalikuse teavitamine","1.2. Väikeluige levik (Loode-Euroopa populatsioon), 4. Tegevuskava eelmise perioodi (2013–2017) täitmine",Kokkuvõte,True,
