Estonian Name,Latin Name,Category
kõre,Bufo calamita,I
rohe-kärnkonn,Bufo viridis,I
must-toonekurg,Ciconia nigra,I
väike-laukhani,Anser erythropus,I
merikotkas,Haliaeetus albicilla,I
madukotkas,Circaetus gallicus,I
väike-konnakotkas,Aquila pomarina,I
suur-konnakotkas,Aquila clanga,I
kaljukotkas,Aquila chrysaetos,I
kalakotkas,Pandion haliaetus,I
väikepistrik,Falco columbarius,I
rabapistrik,Falco peregrinus,I
rabapüü,Lagopus lagopus,I
niidurüdi,Calidris alpina schinzii,I
tutkas,Philomachus pugnax,I
kassikakk,Bubo bubo,I
habekakk,Strix nebulosa,I
siniraag,Coracias garrulus,I
lendorav,Pteromys volans,I
euroopa naarits,Mustela lutreola,I
säga,Silurus glanis,II
tõugjas,Aspius aspius,II
harivesilik,Triturus cristatus,II
mudakonn,Pelobates fuscus,II
kivisisalik,Lacerta agilis,II
järvekaur,Gavia arctica,II
sarvikpütt,Podiceps auritus,II
hüüp,Botaurus stellaris,II
väikeluik,Cygnus columbianus,II
laululuik,Cygnus cygnus,II
soopart,Anas acuta (haudeasurkond),II
merivart,Aythya marila (haudeasurkond),II
kirjuhahk,Polysticta stelleri,II
väikekoskel,Mergus albellus,II
kanakull,Accipiter gentilis,II
metsis,Tetrao urogallus,II
väikehuik,Porzana parva,II
naaskelnokk,Recurvirostra avosetta,II
mudanepp,Lymnocryptes minimus,II
rohunepp,Gallinago media,II
mustsaba-vigle,Limosa limosa,II
kivirullija,Arenaria interpres,II
väikekajakas,Larus minutus,II
tõmmukajakas,Larus fuscus,II
räusktiir,Sterna caspia,II
tutt-tiir,Sterna sandvicensis,II
alk,Alca torda,II
krüüsel,Cepphus grylle,II
sooräts,Asio flammeus,II
karvasjalg-kakk,Aegolius funereus,II
jäälind,Alcedo atthis,II
roherähn,Picus viridis,II
valgeselg-kirjurähn,Dendrocopos leucotos,II
laanerähn,Picoides tridactylus,II
nõmmekiur,Anthus campestris,II
randkiur,Anthus petrosus,II
luha-sinirind,Luscinia svecica cyanecula,II
põldtsiitsitaja,Emberiza hortulana,II
veelendlane,Myotis daubentonii,II
tiigilendlane,Myotis dasycneme,II
tõmmulendlane,Myotis brandtii,II
habelendlane,Myotis mystacinus,II
Nattereri lendlane,Myotis nattereri,II
suurkõrv,Plecotus auritus,II
suurvidevlane,Nyctalus noctula,II
kääbus-nahkhiir,Pipistrellus pipistrellus,II
pargi-nahkhiir,Pipistrellus nathusii,II
pügmee-nahkhiir,Pipistrellus pygmaeus,II
suur-nahkhiir,Vespertilio murinus,II
põhja-nahkhiir,Eptesicus nilssonii,II
viigerhüljes,Phoca hispida,II
atlandi tuur,Acipenser sturio,III
harjus,Thymallus thymallus,III
hink,Cobitis taenia,III
võldas,Cottus gobio,III
vingerjas,Misgurnus fossilis,III
tähnikvesilik,Triturus vulgaris,III
harilik kärnkonn,Bufo bufo,III
rohukonn,Rana temporaria,III
rabakonn,Rana arvalis,III
veekonn,Rana esculenta,III
tiigikonn,Rana lessonae,III
järvekonn,Rana ridibunda,III
arusisalik,Lacerta vivipara,III
vaskuss,Anguis fragilis,III
nastik,Natrix natrix,III
rästik,Vipera berus,III
punakurk-kaur,Gavia stellata,III
väikepütt,Tachybaptus ruficollis,III
hallpõsk-pütt,Podiceps grisegena,III
valge-toonekurg,Ciconia ciconia,III
valgepõsk-lagle,Branta leucopsis,III
punakael-lagle,Branta ruficollis,III
ristpart,Tadorna tadorna,III
tõmmuvaeras,Melanitta fusca,III
herilaseviu,Pernis apivorus,III
must-harksaba,Milvus migrans,III
roo-loorkull,Circus aeruginosus,III
välja-loorkull,Circus cyaneus,III
soo-loorkull,Circus pygargus,III
raudkull,Accipiter nisus,III
hiireviu,Buteo buteo,III
karvasjalg-viu,Buteo lagopus,III
tuuletallaja,Falco tinnunculus,III
punajalg-pistrik,Falco vespertinus,III
lõopistrik,Falco subbuteo,III
laanepüü,Bonasa bonasia,III
teder,Tetrao tetrix,III
rooruik,Rallus aquaticus,III
täpikhuik,Porzana porzana,III
rukkirääk,Crex crex,III
tait,Gallinula chloropus,III
sookurg,Grus grus,III
liivatüll,Charadrius hiaticula,III
väiketüll,Charadrius dubius,III
rüüt,Pluvialis apricaria,III
meririsla,Calidris maritima,III
vöötsaba-vigle,Limosa lapponica,III
väikekoovitaja,Numenius phaeopus,III
suurkoovitaja,Numenius arquata,III
punajalg-tilder,Tringa totanus,III
heletilder,Tringa nebularia,III
mudatilder,Tringa glareola,III
veetallaja,Phalaropus lobatus,III
jõgitiir,Sterna hirundo,III
randtiir,Sterna paradisaea,III
väiketiir,Sterna albifrons,III
mustviires,Chlidonias niger,III
õõnetuvi,Columba oenas,III
lumekakk,Nyctea scandiaca,III
vöötkakk,Surnia ulula,III
värbkakk,Glaucidium passerinum,III
kodukakk,Strix aluco,III
händkakk,Strix uralensis,III
öösorr,Caprimulgus europaeus,III
vaenukägu,Upupa epops,III
väänkael,Jynx torquilla,III
hallpea-rähn,Picus canus,III
musträhn,Dryocopus martius,III
tamme-kirjurähn,Dendrocopos medius,III
väike-kirjurähn,Dendrocopos minor,III
nõmmelõoke,Lullula arborea,III
kaldapääsuke,Riparia riparia,III
suitsupääsuke,Hirundo rustica,III
hänilane,Motacilla flava,III
kuldhänilane,Motacilla citreola,III
vesipapp,Cinclus cinclus,III
hoburästas,Turdus viscivorus,III
vööt-põõsalind,Sylvia nisoria,III
väike-kärbsenäpp,Ficedula parva,III
punaselg-õgija,Lanius collurio,III
hallõgija,Lanius excubitor,III
koldvint,Serinus serinus,III
männi-käbilind,Loxia pytyopsittacus,III
kasetriibik,Sicista betulina,III
pähklinäpp,Muscardinus avellanarius,III
lagrits,Eliomys quercinus,III
pringel,Phocoena phocoena,III
ahm,Gulo gulo,III
saarmas,Lutra lutra,III
hallhüljes,Halichoerus grypus,III
